group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,TSLA,10,0.7,1.5,12.18,14.97,1.074,0.031,52.24,0.321,0.4452,3.4
ticker,VZ,5,0.8,2.77,12.17,13.83,1.401,0.142,52.33,0.406,1.6133,2.8
ticker,V,1,1.0,12.21,12.21,12.21,,12210000000.0,50.26,0.38,0.9483,5.0
ticker,MSFT,6,0.5,1.94,5.44,11.63,1.077,0.037,52.4,0.4867,0.7177,3.0
ticker,DUK,4,0.5,2.78,1.79,11.13,1.44,0.168,50.09,0.3075,1.4617,3.25
ticker,TJX,11,0.5455,0.88,7.78,9.69,1.067,0.03,51.01,0.4518,1.211,3.27
ticker,HD,4,0.5,1.95,7.2,7.82,1.251,0.102,50.73,0.2425,0.9499,2.75
ticker,AEP,4,0.75,1.32,8.16,5.29,1.178,0.072,50.42,0.2275,0.8841,2.25
ticker,SYY,6,0.5,0.74,2.21,4.45,1.077,0.036,50.7,0.415,1.233,2.17
ticker,GOOGL,11,0.5455,0.36,10.8,4.0,1.023,0.01,51.77,0.3818,0.5398,3.09
ticker,COP,6,0.5,0.62,3.53,3.74,1.032,0.015,51.2,0.65,1.0839,2.83
ticker,TRV,3,0.6667,0.33,13.78,0.98,1.034,0.016,51.6,0.4533,3.114,1.67
ticker,O,9,0.5556,-0.12,2.72,-1.11,0.989,-0.005,50.29,0.3222,0.1157,2.89
ticker,EXC,5,0.6,-0.84,8.19,-4.22,0.911,-0.043,50.11,0.292,0.6501,2.8
ticker,AVGO,5,0.4,-1.09,-5.94,-5.46,0.941,-0.027,51.44,0.188,0.2966,4.4
ticker,CVX,2,0.5,-2.79,-2.79,-5.58,0.683,-0.189,50.16,0.32,0.4637,5.0
ticker,MPC,7,0.5714,-1.53,15.3,-10.71,0.923,-0.038,51.77,0.31,1.0614,3.57
ticker,CL,4,0.5,-3.47,-8.04,-13.87,0.705,-0.164,50.73,0.33,1.6957,3.5
ticker,MA,7,0.5714,-2.01,3.99,-14.09,0.752,-0.11,50.66,0.42,1.7018,4.14
ticker,PG,1,0.0,-14.72,-14.72,-14.72,0.0,-14720000000.0,50.17,0.23,0.2713,5.0
ticker,LIN,2,0.5,-7.58,-7.58,-15.16,0.524,-0.313,50.83,0.485,0.7796,4.0
ticker,DOW,4,0.5,-4.89,4.44,-19.58,0.798,-0.106,50.45,0.205,0.6884,3.0
ticker,LOW,3,0.3333,-7.78,-15.71,-23.33,0.545,-0.293,50.09,0.11,-0.3659,3.67
ticker,APD,8,0.375,-2.93,-8.23,-23.41,0.774,-0.109,51.12,0.3575,1.1766,4.12
ticker,KO,5,0.4,-4.72,-3.76,-23.6,0.519,-0.283,51.24,0.352,1.4145,3.0
ticker,SRE,10,0.5,-2.41,-3.52,-24.11,0.789,-0.115,50.71,0.413,1.2571,3.0
ticker,OMC,11,0.4545,-2.32,-2.28,-25.49,0.807,-0.097,50.5,0.4027,0.8927,3.91
ticker,JNJ,2,0.0,-13.22,-13.22,-26.44,0.0,-2.046,51.61,0.095,0.7078,3.5
ticker,EA,4,0.5,-7.03,-10.04,-28.14,0.663,-0.197,50.91,0.5775,1.5438,2.0
ticker,ABT,6,0.5,-4.7,-2.43,-28.19,0.682,-0.18,50.97,0.4167,1.1716,2.0
ticker,LLY,6,0.5,-4.94,-2.37,-29.63,0.693,-0.168,50.73,0.2033,0.0364,4.5
ticker,MAR,16,0.5,-1.91,7.34,-30.5,0.89,-0.053,50.46,0.3562,0.5983,2.88
ticker,HON,3,0.3333,-10.44,-21.25,-31.33,0.274,-0.664,50.37,0.26,1.0709,1.33
ticker,LMT,11,0.5455,-3.05,5.66,-33.58,0.733,-0.143,51.03,0.2782,0.8798,2.73
ticker,LYV,14,0.6429,-2.4,15.25,-33.59,0.856,-0.068,51.46,0.2721,0.7364,3.57
ticker,META,5,0.6,-7.58,4.67,-37.89,0.695,-0.162,50.24,0.272,0.7574,4.0
ticker,PH,6,0.5,-7.2,-2.54,-43.22,0.556,-0.251,50.43,0.3,0.7201,4.67
ticker,MS,4,0.25,-12.29,-24.93,-49.14,0.477,-0.358,50.62,0.435,0.9519,3.25
ticker,XOM,2,0.0,-24.7,-24.7,-49.39,0.0,-33.599,52.06,0.475,1.928,3.0
ticker,GS,7,0.5714,-7.65,28.53,-53.54,0.733,-0.147,50.36,0.4471,0.8921,3.57
ticker,NEE,6,0.3333,-9.8,-20.27,-58.78,0.424,-0.422,50.1,0.3,1.1771,2.83
ticker,ROST,11,0.4545,-5.46,-6.63,-60.09,0.664,-0.183,51.51,0.4418,0.8663,3.82
ticker,MMM,4,0.25,-15.36,-18.38,-61.46,0.279,-0.539,50.12,0.4075,1.058,4.75
ticker,FCX,12,0.4167,-5.24,-10.52,-62.91,0.81,-0.098,51.72,0.3975,0.8879,3.25
ticker,BAC,7,0.4286,-9.5,-27.77,-66.49,0.604,-0.243,52.11,0.4971,1.5558,3.43
ticker,FDX,5,0.4,-13.32,-37.3,-66.6,0.533,-0.3,51.44,0.334,0.6262,4.0
ticker,BA,3,0.3333,-22.28,-41.69,-66.83,0.456,-0.386,51.21,0.2467,0.2058,2.67
ticker,PFE,7,0.2857,-9.58,-10.13,-67.04,0.413,-0.389,50.71,0.3886,1.1799,4.43
ticker,IBM,5,0.2,-13.93,-24.01,-69.67,0.208,-0.749,50.47,0.328,0.938,3.8
ticker,EQR,8,0.375,-9.21,-19.66,-73.72,0.573,-0.262,50.45,0.4463,1.3932,3.5
ticker,GE,4,0.25,-18.58,-23.93,-74.32,0.185,-0.846,50.13,0.35,0.7951,3.5
ticker,MO,3,0.3333,-25.53,-45.27,-76.58,0.205,-0.794,51.73,0.22,0.6162,3.67
ticker,AMT,3,0.3333,-25.56,-53.72,-76.68,0.381,-0.492,51.02,0.32,0.7912,4.33
ticker,AXP,10,0.4,-7.72,-14.26,-77.17,0.613,-0.219,50.42,0.416,0.7828,2.6
ticker,ORCL,6,0.3333,-13.22,-26.67,-79.35,0.461,-0.374,52.25,0.3367,0.4268,2.33
ticker,INTC,13,0.4615,-6.26,-17.7,-81.36,0.72,-0.144,51.34,0.6131,0.997,4.15
ticker,CCI,3,0.0,-27.4,-34.98,-82.19,0.0,-1.996,51.46,0.5433,1.5389,3.33
ticker,NKE,6,0.5,-13.84,-24.73,-83.02,0.505,-0.304,50.4,0.355,0.4245,2.83
ticker,ABBV,9,0.4444,-9.43,-3.12,-84.84,0.606,-0.222,50.46,0.3978,0.7696,3.67
ticker,PM,4,0.25,-21.97,-39.08,-87.89,0.339,-0.552,51.27,0.33,1.4209,2.5
ticker,XEL,7,0.4286,-13.45,-24.26,-94.16,0.233,-0.651,51.32,0.4114,1.4147,2.71
ticker,CMCSA,9,0.3333,-10.67,-23.64,-96.02,0.294,-0.553,50.81,0.3367,0.8533,4.11
ticker,UNH,6,0.3333,-16.05,-17.67,-96.3,0.149,-0.778,52.93,0.2767,1.5115,3.67
ticker,ETN,2,0.0,-48.3,-48.3,-96.61,0.0,-6.506,50.62,0.43,0.8774,3.0
ticker,NOC,11,0.2727,-8.87,-19.4,-97.58,0.439,-0.383,51.05,0.3591,0.9164,3.0
ticker,PEP,5,0.2,-19.52,-25.75,-97.62,0.138,-1.081,51.07,0.404,1.1958,3.2
ticker,GM,7,0.4286,-14.4,-28.69,-100.83,0.449,-0.36,50.23,0.3243,-0.0392,3.14
ticker,DIS,4,0.25,-25.56,-36.31,-102.25,0.203,-0.794,50.22,-0.0175,-0.1368,2.5
ticker,TXN,8,0.375,-12.96,-19.91,-103.67,0.467,-0.339,50.42,0.3762,0.3999,2.88
ticker,BLK,4,0.25,-26.16,-34.84,-104.66,0.221,-0.745,51.64,0.4125,1.6816,3.5
ticker,EOG,8,0.375,-13.11,-27.72,-104.89,0.592,-0.245,50.5,0.455,0.3106,3.38
ticker,CAT,3,0.3333,-35.24,-51.14,-105.72,0.058,-1.182,50.22,0.22,0.38,3.33
ticker,PSA,5,0.2,-21.32,-26.02,-106.58,0.132,-0.858,50.44,0.3,0.7642,3.2
ticker,PLD,3,0.0,-35.78,-33.34,-107.33,0.0,-5.719,51.34,0.3967,0.2953,3.67
ticker,DE,5,0.4,-22.04,-53.59,-110.19,0.378,-0.483,50.14,0.298,0.5199,4.4
ticker,QCOM,6,0.5,-21.25,-13.89,-127.53,0.182,-0.665,50.99,0.3283,0.5907,3.5
ticker,WELL,11,0.4545,-12.53,-20.44,-137.87,0.418,-0.394,50.65,0.3045,0.5083,3.09
ticker,BMY,3,0.0,-47.17,-39.38,-141.52,0.0,-3.297,50.11,0.1667,0.1397,3.67
ticker,AMAT,13,0.5385,-10.9,3.56,-141.71,0.583,-0.242,51.6,0.3931,0.375,4.08
ticker,AMGN,4,0.25,-36.59,-44.13,-146.37,0.157,-0.875,50.92,0.7725,3.8005,4.75
ticker,AAPL,5,0.0,-29.67,-34.06,-148.36,0.0,-2.694,50.52,0.262,0.0777,2.6
ticker,T,7,0.1429,-21.58,-22.87,-151.06,0.115,-1.066,50.54,0.18,0.2896,3.0
ticker,CRM,6,0.3333,-25.39,-50.78,-152.36,0.389,-0.469,51.81,0.415,1.2793,4.33
ticker,NEM,6,0.3333,-27.03,-41.74,-162.2,0.385,-0.45,50.38,0.35,0.1589,3.0
ticker,ISRG,5,0.2,-36.17,-42.64,-180.86,0.138,-0.938,52.34,0.59,1.958,4.2
ticker,ADBE,7,0.2857,-28.33,-42.83,-198.32,0.233,-0.627,50.67,0.3671,0.582,3.57
ticker,NVDA,10,0.4,-22.66,-32.37,-226.63,0.359,-0.45,51.47,0.292,0.5935,3.6
ticker,OXY,6,0.1667,-39.59,-41.47,-237.51,0.017,-1.622,50.22,0.3867,0.1426,3.83
ticker,SBUX,5,0.0,-49.21,-53.04,-246.04,0.0,-5.106,50.35,0.404,1.2319,2.4
ticker,NFLX,23,0.4348,-12.53,-17.26,-288.08,0.591,-0.241,51.57,0.46,0.5456,2.78
ticker,CHTR,9,0.1111,-34.59,-34.09,-311.33,0.057,-1.421,50.61,0.2689,0.4508,3.22
