date,n_positions,gross_exposure,net_exposure,turnover,cost,period_return
2016-07-18,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.0018933645849793395
2016-07-25,5,1.0,1.0,2.0,0.002,-0.00105765475414182
2016-08-01,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.03485082963465483
2016-08-08,5,1.0,1.0,2.0,0.002,-0.005065874198858085
2016-08-15,5,1.0,1.0,2.0,0.002,-0.018586765131652777
2016-08-22,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.0005539748634942618
2016-08-29,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.00717775807456663
2016-09-06,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.08390814842133726
2016-09-13,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.02388082006494674
2016-09-20,5,1.0,1.0,2.0,0.002,0.005367747840454681
2016-09-27,5,1.0,1.0,2.0,0.002,0.007450710183215466
2016-10-04,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.023171353290599522
2016-10-11,5,1.0,1.0,2.0,0.002,-0.010916054378029045
2016-10-18,5,1.0,1.0,2.0,0.002,-0.0014068191600434623
2016-10-25,5,1.0,1.0,2.0,0.002,-0.018660842569173976
2016-11-01,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.047995786168025675
2016-11-08,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.03590484347370505
2016-11-15,5,1.0,1.0,2.0,0.002,0.009387006823109265
2016-11-22,5,1.0,1.0,2.0,0.002,0.018101044090734326
2016-11-30,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.016069962655546728
2016-12-07,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.005071688398528527
2016-12-14,5,1.0,1.0,2.0,0.002,0.015087183108658047
2016-12-21,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.015844469381492355
2016-12-29,5,1.0,1.0,2.0,0.002,0.047958113751816925
2017-01-06,5,1.0,1.0,2.0,0.002,0.01191296990788273
2017-01-13,5,1.0,1.0,2.0,0.002,0.004199544793806111
2017-01-23,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.00023081818319978893
2017-01-30,5,1.0,1.0,2.0,0.002,0.011482286547691426
2017-02-06,5,1.0,1.0,2.0,0.002,0.013406928607166151
2017-02-13,5,1.0,1.0,2.0,0.002,0.00371802567470748
2017-02-21,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.007040242861462008
2017-02-28,5,1.0,1.0,2.0,0.002,-0.014493816618923943
2017-03-07,5,1.0,1.0,2.0,0.002,-0.011122920238277361
2017-03-14,5,1.0,1.0,2.0,0.002,-0.0010455133983322514
2017-03-21,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.009745181616003181
