horizon_days,score_source,shape,exposure,weighting,sector_mode,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,feature_health_gate_pass,active_cluster_count,effective_cluster_count,max_cluster_weight,feature_health_gate_reasons,subperiod_stability_pass,paper_ready,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty
5,factor_walkforward,top10,long_only,equal,unconstrained,420.58,10.64,0.633,-38.19,-342.17,-1204.23,-687.0,-1.451,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.3596,0.5276,7.965,0.5
5,factor_walkforward,top10,long_only,score,unconstrained,492.62,11.53,0.644,-39.79,-270.13,-1132.19,-614.96,-0.996,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.4126,0.5916,7.965,0.5
5,factor_walkforward,top5,long_only,equal,unconstrained,633.56,13.0,0.674,-42.17,-129.19,-991.25,-474.01,-0.51,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.4778,0.6868,7.965,0.5
5,factor_walkforward,top_decile,long_only,score,unconstrained,553.51,12.2,0.637,-43.17,-209.24,-1071.3,-554.07,-0.657,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.5548,0.7268,7.965,0.5
5,factor_walkforward,top_bottom_decile,long_only,score,unconstrained,553.51,12.2,0.637,-43.17,-209.24,-1071.3,-554.07,-0.657,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.5548,0.7268,7.965,0.5
5,factor_walkforward,top5,long_only,score,unconstrained,530.73,11.95,0.595,-46.37,-232.02,-1094.08,-576.84,-0.542,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-8.7248,0.8548,7.965,0.5
5,factor_plus_model,top_bottom_decile,long_short,equal,unconstrained,-43.7,-3.46,-0.215,-62.05,-806.45,-1668.52,-1151.28,-4.57,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.2157,1.482,10.0188,0.5
5,factor_only,top_bottom_decile,long_short,score,unconstrained,-41.55,-3.24,-0.174,-65.37,-804.3,-1666.36,-1149.12,-4.072,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.3076,1.6148,10.0188,0.5
5,factor_plus_model,top_bottom_quintile,long_short,score,unconstrained,-50.44,-4.21,-0.327,-63.27,-813.19,-1675.25,-1158.01,-4.944,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.3766,1.5308,10.0188,0.5
5,factor_plus_model,top_bottom_decile,long_short,score,unconstrained,-48.03,-3.93,-0.219,-67.49,-810.78,-1672.84,-1155.6,-4.352,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.4374,1.6996,10.0188,0.5
5,factor_plus_model,top_bottom_quintile,long_short,equal,unconstrained,-54.65,-4.73,-0.455,-67.62,-817.4,-1679.47,-1162.23,-5.262,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.6786,1.7048,10.0188,0.5
5,factor_only,top_bottom_quintile,long_short,score,unconstrained,-57.48,-5.11,-0.433,-68.77,-820.23,-1682.29,-1165.05,-5.056,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.7026,1.7508,10.0188,0.5
5,factor_only,top_bottom_decile,long_short,equal,unconstrained,-56.71,-5.0,-0.368,-71.96,-819.46,-1681.53,-1164.29,-4.776,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-12.7652,1.8784,10.0188,0.5
5,factor_only,top_bottom_quintile,long_short,equal,unconstrained,-65.81,-6.37,-0.667,-74.47,-828.56,-1690.62,-1173.38,-5.701,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.1646,1.9788,10.0188,0.5
5,factor_only,top_bottom_decile,beta_neutral,score,unconstrained,-74.57,-8.05,-0.653,-78.07,-837.31,-1699.38,-1182.14,-5.073,205375.0,205.375,1.25,True,10,10,0.111111,,False,False,-13.2946,2.1228,10.0188,0.5
5,factor_plus_model,top_bottom_quintile,long_short,equal,sector_neutral,-68.36,-6.81,-1.047,-69.64,-831.11,-1693.17,-1175.94,-6.395,204829.55,204.8295,1.247,True,10,10,0.111111,,False,False,-13.3241,1.7856,9.9915,0.5
