date,equity
2017-07-21,7655.0275268224195
2017-07-28,7730.879637636661
2017-08-04,7658.957630678149
2017-08-11,7651.783743380351
2017-08-18,7607.701147830756
2017-08-25,7590.476949766779
2017-09-01,7601.443800247442
2017-09-08,7532.405664810162
2017-09-18,7573.555261539637
2017-09-25,7545.294468583643
2017-10-02,7520.469504225166
2017-10-09,7540.415354303766
2017-10-16,7575.2224316088
2017-10-23,7573.408102051376
2017-10-30,7340.737579966874
2017-11-06,7399.363034853961
2017-11-13,7385.512553451483
2017-11-20,7410.917915569283
2017-11-27,7363.375670126996
2017-12-05,7360.570900542263
2017-12-12,7407.7686880433785
2017-12-19,7452.067033064662
2017-12-26,7491.725263576518
2018-01-03,7550.011824336432
2018-01-11,7509.225613676211
2018-01-18,7539.663717171901
2018-01-26,7483.195399331423
2018-02-02,7444.33301485179
2018-02-09,7451.873289136184
2018-02-16,7577.797439357053
2018-02-23,7561.82080150788
2018-03-05,7568.638635949462
2018-03-12,7540.9232395877825
2018-03-19,7567.07057596627
2018-03-26,7591.416406162148
2018-04-02,7567.556799449444
2018-04-10,7569.84037613732
2018-04-17,7600.283854983386
2018-04-24,7392.665372954623
2018-05-01,7397.418463976337
2018-05-08,7450.25420608649
2018-05-15,7449.771401636355
2018-05-22,7438.778848531877
2018-05-29,7453.999037492128
2018-06-06,7443.234542327019
2018-06-13,7424.609248472425
2018-06-20,7368.700693082629
2018-06-27,7369.250433090494
2018-07-04,7353.974445591607
2018-07-12,7366.35940657753
2018-07-19,7315.93557200009
2018-07-26,7282.190882658331
2018-08-02,7218.003025445847
2018-08-09,7203.63284135554
2018-08-16,7168.170918888534
2018-08-23,7188.588565352081
2018-08-30,7154.412134630317
2018-09-06,7102.610370318766
2018-09-14,7054.340761193506
2018-09-21,7002.292458702835
2018-09-28,7030.011458029144
2018-10-05,6998.2905015177585
2018-10-12,6993.613636937173
2018-10-19,6996.1542901614785
2018-10-26,6889.405586868312
2018-11-02,6950.9093526537
2018-11-09,6930.162168759252
2018-11-16,6888.324024896354
2018-11-23,6861.72965362285
2018-12-03,6980.277754007053
2018-12-10,6954.325930196744
2018-12-18,6913.273933294042
2018-12-25,6890.024597532751
2019-01-02,6833.447970853914
2019-01-10,6866.907602685612
2019-01-17,6851.521005070505
2019-01-24,6866.998135645387
2019-02-01,6847.978108481068
2019-02-08,6846.602889913189
2019-02-15,6902.07599268068
2019-02-22,6866.981479815326
2019-03-04,6917.077315432583
2019-03-11,6893.6615519353245
2019-03-18,6937.685744026335
2019-03-25,6964.607748445524
2019-04-01,6991.41292924283
2019-04-08,7026.832313489167
2019-04-15,6993.062306498122
2019-04-22,6960.675797446875
2019-04-30,6917.5426194372
2019-05-07,6846.103891355075
2019-05-14,6852.3821586119475
2019-05-21,6846.174505631034
2019-05-28,6791.321569907863
2019-06-05,6759.898580107926
2019-06-12,6791.339957561549
2019-06-19,6795.487220120934
2019-06-26,6740.032381039752
2019-07-03,6752.956745652506
2019-07-10,6779.816998123907
2019-07-18,6801.933022163878
2019-07-25,6816.0484205954535
2019-08-01,6801.655694391442
2019-08-08,6861.924076060046
2019-08-15,6797.225240977228
2019-08-22,6833.205754036381
2019-08-29,6765.31025810335
2019-09-05,6692.916699693208
2019-09-13,6613.491097612308
2019-09-20,6617.002291933406
2019-09-27,6597.36142720555
2019-10-04,6571.027445735574
2019-10-11,6619.816543280097
2019-10-18,6616.496878595089
2019-10-25,6608.249497284012
2019-11-01,6582.007742472221
2019-11-08,6644.6461531969735
2019-11-15,6655.255115952548
2019-11-22,6651.101876688453
2019-11-29,6615.761510220692
2019-12-09,6624.102986604939
2019-12-16,6626.744864652387
2019-12-23,6654.088655048805
2019-12-30,6636.335371160024
2020-01-07,6637.689077502955
2020-01-15,6591.261848238623
2020-01-22,6558.195734662159
2020-01-30,6480.953624072456
2020-02-06,6490.337291709677
2020-02-13,6529.033747490072
2020-02-20,6459.772433943382
2020-02-28,6455.969298263328
2020-03-06,6287.11589765375
2020-03-13,6257.295913619791
2020-03-20,6299.931867175953
2020-03-27,6445.079366621168
2020-04-03,6307.78286606616
2020-04-10,6411.2413814861575
2020-04-20,6495.169192526072
2020-04-27,6490.404267310071
2020-05-04,6424.357410802535
2020-05-11,6421.3216681297545
2020-05-18,6381.851247307539
2020-05-25,6456.684729872808
2020-06-02,6416.137224302231
2020-06-09,6459.60489084085
2020-06-16,6461.745894474713
2020-06-23,6417.077678541247
2020-06-30,6375.3600822662365
2020-07-07,6372.887996229307
2020-07-15,6402.759950944408
2020-07-22,6392.388200382016
2020-07-29,6410.402739984319
2020-08-05,6472.907735606924
2020-08-12,6504.755946848949
2020-08-19,6440.1646609637955
2020-08-26,6344.827398846271
2020-09-02,6329.546551767526
2020-09-09,6372.0242872487415
2020-09-17,6381.688872017891
2020-09-24,6442.220677322289
2020-10-01,6505.427074860445
2020-10-08,6684.970526667609
2020-10-15,6673.967993676345
2020-10-22,6659.456250452706
2020-10-29,6648.412162805221
2020-11-05,6726.056906275779
2020-11-12,6744.560244372685
2020-11-19,6761.695051709129
2020-11-26,6741.611393522181
2020-12-04,6766.941250884302
2020-12-11,6791.175670432455
2020-12-18,6794.975568185744
2020-12-25,6813.106717763455
2021-01-04,6930.652467539541
2021-01-12,6900.424222399841
2021-01-19,6905.966855847322
2021-01-27,6850.644278486037
2021-02-03,6904.2444603658605
2021-02-10,6937.526707944018
2021-02-17,6960.398577389013
2021-02-25,6975.56320590195
2021-03-04,6899.187471578077
2021-03-11,6893.538118487653
2021-03-18,6886.673888046227
2021-03-25,6845.65002717004
2021-04-01,6807.968236838339
2021-04-08,6762.875416290661
2021-04-16,6740.510388919027
2021-04-23,6703.213236367156
2021-04-30,6695.547314351292
2021-05-07,6671.213670580767
2021-05-14,6625.6573552578575
2021-05-21,6629.188511027161
2021-05-28,6635.324631480206
2021-06-04,6642.531980649542
2021-06-14,6584.548671260018
2021-06-21,6485.008126759521
2021-06-28,6513.2059997346805
2021-07-05,6461.932007477266
2021-07-13,6446.812955516645
2021-07-20,6402.664962057303
2021-07-27,6395.25317654653
2021-08-03,6466.892941462953
2021-08-10,6472.137553851542
2021-08-17,6415.719690165193
2021-08-24,6420.086078398987
2021-08-31,6448.392369745702
2021-09-07,6406.045846328558
2021-09-15,6441.5143762942935
2021-09-22,6395.781367448725
2021-09-29,6399.634384514715
2021-10-06,6387.719898542935
2021-10-13,6440.563570075759
2021-10-20,6431.633813276987
2021-10-27,6402.916423092129
2021-11-03,6392.037282331592
2021-11-10,6424.883495466539
2021-11-17,6393.313147721464
2021-11-24,6388.298170636936
2021-12-01,6382.283737678231
2021-12-09,6309.372710372297
2021-12-16,6265.240037405686
2021-12-23,6288.28414121913
2021-12-30,6284.7003354521385
2022-01-07,6293.059338278966
2022-01-14,6341.773491921819
2022-01-21,6333.266955361536
2022-01-31,6441.2219942544225
2022-02-07,6471.409065837143
2022-02-14,6513.025298877004
2022-02-21,6465.429394847011
2022-03-01,6488.562360094538
2022-03-08,6407.176286222057
2022-03-15,6447.105953841756
2022-03-22,6493.122081114244
2022-03-29,6459.477772843679
2022-04-05,6420.203105756343
2022-04-12,6418.695892334348
2022-04-19,6393.926113176845
2022-04-27,6229.776101504958
2022-05-04,6190.287565899219
2022-05-11,6100.622806327859
2022-05-18,6117.384663760287
2022-05-25,6094.48115198336
2022-06-01,6088.007352653894
2022-06-09,6079.098689360122
2022-06-16,6083.394288084412
2022-06-23,6165.194159531954
2022-07-01,6112.926675131993
2022-07-08,6116.403175226933
2022-07-18,6127.390530145289
2022-07-25,6126.220715217748
2022-08-01,6065.78501192008
2022-08-08,6058.750005875063
2022-08-15,6051.137019157836
2022-08-22,6048.095355078793
2022-08-29,6051.441638919527
2022-09-05,6073.777194313875
2022-09-13,6059.490130287145
2022-09-20,6030.314504513173
2022-09-27,6007.204455396176
2022-10-04,6019.973228775423
2022-10-11,6033.468586157564
2022-10-18,5996.519542753756
2022-10-25,6075.311155796944
2022-11-01,6085.256434894688
2022-11-08,6042.742998718457
2022-11-15,5983.01274414151
2022-11-22,5995.418296013366
2022-11-29,6019.417412755587
2022-12-07,5955.8468620832
2022-12-14,5871.899626918707
2022-12-21,5888.360362185356
2022-12-28,5877.988664656073
2023-01-05,5880.0512321305505
2023-01-13,5902.987767690243
2023-01-20,5924.430680927252
2023-01-30,5892.160240874854
2023-02-06,5899.885945912626
2023-02-13,5916.331743180692
2023-02-20,5934.437578896621
2023-02-28,5884.455042243479
2023-03-07,5865.124776210066
2023-03-14,5820.358033016419
2023-03-21,5839.906731763673
2023-03-28,5813.875541677731
2023-04-04,5781.302869580598
2023-04-11,5770.8285445331185
2023-04-19,5758.050639565777
2023-04-26,5774.881512117985
2023-05-03,5761.972434777366
2023-05-10,5817.641733283366
2023-05-17,5832.600886661192
2023-05-24,5814.376914509896
2023-05-31,5851.3183134731335
2023-06-08,5887.383790589706
2023-06-15,5896.564339219224
2023-06-22,5881.8004028716905
2023-06-30,5911.092618792491
2023-07-07,5901.140580699874
2023-07-17,5928.6885380492595
2023-07-24,5916.801229038072
2023-07-31,5879.968173953298
2023-08-07,5874.427683810809
2023-08-14,5879.387230215203
2023-08-21,5893.292804497704
2023-08-28,5869.624341570313
2023-09-04,5872.785357965465
2023-09-12,5886.096102093387
2023-09-19,5865.193815057909
2023-09-26,5848.62131238466
2023-10-03,5878.034223753608
2023-10-10,5877.889561328399
2023-10-17,5865.495481855288
2023-10-24,5857.375980705825
2023-10-31,5859.099744461982
2023-11-07,5842.072943197235
2023-11-14,5872.006952705683
2023-11-21,5867.551453261938
2023-11-28,5815.31104418695
2023-12-06,5825.899893582439
2023-12-13,5833.206447262505
2023-12-20,5799.74447653347
2023-12-27,5794.199600221485
2024-01-04,5797.493351364662
